accuracy,precision,recall,f1,roc_auc,pr_auc,pr_auc_lift,base_rate,threshold,split,features,seed,n_train,n_test
0.7819696772876575,0.37567389875082186,0.7172084850006276,0.4930750312810113,0.8380811004911812,0.5451923760602077,3.6875588764599483,0.1478464193590291,0.5,athlete,original,42,215844,53887
0.7861092678610927,0.3831707959936742,0.7216430876147928,0.5005595248342946,0.8437051532148084,0.5588815350260097,3.762775010949501,0.14852908648529087,0.5,athlete,original,1,215479,54252
0.7814087117701576,0.3757547912838015,0.7149993755463969,0.4926214344103601,0.8399600021313219,0.5482484643051377,3.6940183151320323,0.14841519925857274,0.5,athlete,original,7,215781,53950
0.8200926784059314,0.4380424476697542,0.7500936680404646,0.5530896030942075,0.8797236466804081,0.6667669659466051,4.492578720222224,0.14841519925857274,0.5,athlete,new,42,215781,53950
0.8215733982157339,0.4410781749491427,0.7534127575080665,0.5564109614150857,0.8812685977801777,0.6763943597095212,4.553952196942286,0.14852908648529087,0.5,athlete,new,1,215479,54252
0.8201482854494903,0.4381924198250729,0.7508430123641814,0.5534128043448244,0.8793538975121515,0.6657297503401538,4.485590112507968,0.14841519925857274,0.5,athlete,new,7,215781,53950
0.7714530620019683,0.3285677151026774,0.5542644156983118,0.41256629946960427,0.7640448783876197,0.38664284510528496,2.670217710583506,0.14479824756341472,0.5,temporal,original,42,238232,31499
0.7700879392996604,0.3266520108625372,0.5538259153694365,0.4109321620302587,0.7648040864102517,0.3863946275593367,2.6685034802656316,0.14479824756341472,0.5,temporal,original,1,238232,31499
0.7697387218641861,0.32650167568961075,0.5553606665204999,0.41123467813945935,0.7645279523123648,0.386797661081538,2.671286894629986,0.14479824756341472,0.5,temporal,original,7,238232,31499
0.7928188196450681,0.36431432122634994,0.5783819337864503,0.44704287408913745,0.79475955318415,0.44351063164091253,3.062955796109867,0.14479824756341472,0.5,temporal,new,42,238232,31499
0.7945331597828502,0.3659323698610916,0.5718044288533216,0.4462696783025325,0.7938887422862204,0.44241084453147883,3.0553604893437956,0.14479824756341472,0.5,temporal,new,1,238232,31499
0.7927235785263024,0.36405084277424704,0.5777241832931375,0.4466480210187304,0.794516711936424,0.4441693967307698,3.0675053338352374,0.14479824756341472,0.5,temporal,new,7,238232,31499
